iter	Passed	Remaining
0	2	2731
1	4	2273
2	6	2072
3	8	1976
4	10	1927
5	12	1869
6	14	1907
7	16	1918
8	18	1909
9	21	1922
10	22	1876
11	24	1842
12	26	1819
13	27	1789
14	29	1776
15	31	1755
16	33	1746
17	34	1736
18	36	1721
19	38	1707
20	39	1702
21	41	1675
22	42	1669
23	44	1665
24	47	1685
25	49	1685
26	50	1678
27	52	1675
28	54	1673
29	56	1665
30	58	1658
31	59	1650
32	61	1655
33	63	1652
34	65	1651
35	68	1662
36	70	1675
37	72	1675
38	74	1667
39	75	1661
40	77	1661
41	80	1674
42	82	1668
43	83	1661
44	85	1658
45	87	1655
46	89	1650
47	91	1647
48	93	1657
49	95	1655
50	97	1650
51	99	1651
52	101	1648
53	103	1650
54	105	1651
55	107	1648
56	109	1646
57	111	1644
58	113	1645
59	114	1640
60	116	1637
61	118	1638
62	121	1640
63	124	1655
64	126	1651
65	128	1653
66	130	1647
67	131	1643
68	133	1642
69	135	1642
70	137	1641
71	139	1638
72	141	1638
73	143	1638
74	146	1637
75	147	1634
76	150	1636
77	152	1636
78	154	1638
79	156	1635
80	158	1635
81	160	1631
82	162	1629
83	164	1628
84	165	1622
85	168	1621
86	169	1619
87	171	1615
88	173	1611
89	175	1609
90	177	1606
91	179	1604
92	181	1604
93	183	1601
94	185	1599
95	187	1599
96	189	1596
97	191	1595
98	193	1593
99	195	1595
100	197	1593
101	199	1589
102	201	1590
103	203	1589
104	205	1587
105	207	1588
106	209	1584
107	211	1583
108	213	1584
109	216	1583
110	217	1579
111	220	1581
112	221	1576
113	224	1575
114	225	1573
115	228	1575
116	230	1574
117	232	1573
118	234	1573
119	237	1576
120	240	1579
121	241	1574
122	244	1577
123	246	1577
124	248	1574
125	250	1571
126	252	1570
127	254	1569
128	256	1567
129	258	1565
130	261	1564
131	262	1561
132	264	1560
133	267	1558
134	269	1557
135	271	1558
136	273	1557
137	275	1555
138	277	1552
139	280	1552
140	281	1549
141	283	1546
142	285	1545
143	288	1545
144	289	1541
145	291	1539
146	293	1537
147	296	1537
148	298	1538
149	300	1535
150	302	1534
151	305	1533
152	307	1534
153	309	1531
154	311	1528
155	313	1526
156	315	1523
157	318	1528
158	320	1526
159	322	1523
160	324	1521
161	326	1519
162	328	1518
163	331	1518
164	333	1518
165	335	1517
166	337	1515
167	340	1513
168	341	1510
169	343	1508
170	345	1507
171	347	1503
172	349	1502
173	351	1500
174	354	1499
175	356	1497
176	358	1494
177	360	1494
178	362	1493
179	364	1490
180	366	1488
181	368	1485
182	370	1483
183	372	1481
184	374	1480
185	377	1481
186	379	1479
187	381	1476
188	383	1474
189	385	1474
190	387	1472
191	389	1469
192	392	1468
193	394	1466
194	396	1465
195	398	1464
196	400	1461
197	402	1460
198	404	1458
199	406	1456
200	409	1454
201	411	1453
202	413	1450
203	414	1448
204	417	1447
205	419	1445
206	421	1442
207	423	1442
208	426	1441
209	428	1439
210	430	1437
211	432	1434
212	434	1432
213	435	1429
214	437	1426
215	439	1423
216	440	1420
217	442	1417
218	444	1414
219	446	1411
220	448	1409
221	450	1408
222	452	1405
223	454	1402
224	455	1400
225	458	1398
226	459	1395
227	461	1392
228	463	1389
229	465	1388
230	467	1387
231	469	1384
232	471	1381
233	473	1379
234	475	1376
235	476	1373
236	478	1371
237	480	1369
238	482	1367
239	484	1364
240	487	1364
241	489	1362
242	491	1361
243	493	1359
244	495	1356
245	497	1354
246	499	1351
247	500	1349
248	503	1347
249	504	1344
250	506	1342
251	508	1340
252	510	1338
253	512	1336
254	515	1335
255	517	1333
256	519	1331
257	521	1330
258	524	1329
259	526	1327
260	528	1325
261	530	1324
262	533	1323
263	535	1322
264	537	1321
265	539	1319
266	541	1317
267	544	1315
268	546	1315
269	549	1315
270	551	1313
271	553	1311
272	555	1308
273	557	1306
274	559	1304
275	561	1302
276	564	1301
277	566	1299
278	568	1298
279	570	1295
280	572	1293
281	574	1292
282	576	1290
283	578	1287
284	580	1285
285	582	1283
286	584	1280
287	587	1280
288	589	1278
289	591	1276
290	593	1273
291	595	1273
292	598	1271
293	600	1270
294	602	1268
295	604	1265
296	606	1263
297	607	1260
298	609	1258
299	612	1256
300	614	1256
301	617	1255
302	620	1254
303	622	1252
304	624	1251
305	626	1249
306	628	1247
307	630	1245
308	633	1243
309	635	1242
310	637	1240
311	640	1239
312	642	1237
313	644	1236
314	646	1233
315	649	1232
316	651	1231
317	653	1229
318	656	1229
319	658	1227
320	660	1224
321	663	1223
322	665	1222
323	667	1220
324	669	1217
325	672	1217
326	675	1216
327	677	1214
328	679	1212
329	682	1211
330	684	1210
331	687	1208
332	689	1206
333	691	1205
334	693	1203
335	696	1201
336	698	1200
337	700	1198
338	703	1197
339	705	1195
340	708	1193
341	710	1193
342	712	1190
343	715	1189
344	718	1188
345	719	1186
346	722	1184
347	724	1182
348	727	1181
349	729	1179
350	731	1177
351	733	1175
352	735	1173
353	737	1171
354	739	1169
355	742	1167
356	744	1165
357	746	1163
358	748	1161
359	751	1160
360	753	1157
361	755	1155
362	757	1154
363	759	1152
364	761	1149
365	764	1148
366	765	1145
367	768	1143
368	770	1141
369	772	1140
370	774	1137
371	776	1135
372	778	1133
373	780	1130
374	783	1129
375	784	1127
376	787	1125
377	789	1123
378	791	1121
379	793	1119
380	795	1117
381	797	1115
382	800	1113
383	802	1111
384	804	1109
385	806	1107
386	808	1105
387	810	1103
388	813	1101
389	815	1099
390	817	1097
391	819	1095
392	822	1093
393	823	1091
394	826	1089
395	828	1087
396	830	1085
397	832	1083
398	834	1081
399	837	1079
400	838	1077
401	840	1075
402	843	1073
403	845	1071
404	847	1068
405	849	1066
406	850	1064
407	853	1062
408	855	1059
